x,y,alpha
2.1103585368109634e-07,4.981231427336752e-07,1.544352198834531e-05
3.235862777728471e-07,9.64926016422396e-07,2.1871377612114884e-05
5.186201406104374e-07,1.9367118966329144e-06,1.464370870962739e-05
3.519382744343602e-06,1.957017957465723e-06,2.678380951692816e-06
